report_id,company_name,isin,reported_at,pdf_path,pages_path,blocks_path,year_month,DATE,SYMBOL,COMPANY_NAME,TICKER,SECTOR,MOMENTUM,VALUE,SIZE,BETA,SEDOL,ISIN,RETURNS,report_type
f_BhHaOPZc,AMAZON.COM INC,US0231351067,2023-04-28,data/reports/AMAZON.COM_INC/f_BhHaOPZc_file.pdf,data/reports/AMAZON.COM_INC/f_BhHaOPZc_pages.txt,data/reports/AMAZON.COM_INC/f_BhHaOPZc_blocks.txt,2023-04,2023-04-28,02313510,"Amazon.com, Inc.",AMZN,Consumer Discretionary,-32.7508,-0.723,13.9336082679577,1.61006,2000019,US0231351067,0.0209119,Quarterly
f_FCSZaEUB,AMGEN INC,US0311621009,2023-04-28,data/reports/AMGEN_INC/f_FCSZaEUB_file.pdf,data/reports/AMGEN_INC/f_FCSZaEUB_pages.txt,data/reports/AMGEN_INC/f_FCSZaEUB_blocks.txt,2023-04,2023-04-28,03116210,Amgen Inc.,AMGN,Health Care,3.3257,-0.383,11.762405948278,0.794939,2023607,US0311621009,-0.00831437,Quarterly
f_VhwXTet6,AMAZON.COM INC,US0231351067,2023-02-03,data/reports/AMAZON.COM_INC/f_VhwXTet6_file.pdf,data/reports/AMAZON.COM_INC/f_VhwXTet6_pages.txt,data/reports/AMAZON.COM_INC/f_VhwXTet6_blocks.txt,2023-02,2023-02-28,02313510,"Amazon.com, Inc.",AMZN,Consumer Discretionary,-33.4215,-0.796,13.7755039574986,1.53271,2000019,US0231351067,-0.0862988,Annual
f_VtOjb1Eg,AMGEN INC,US0311621009,2023-10-31,data/reports/AMGEN_INC/f_VtOjb1Eg_file.pdf,data/reports/AMGEN_INC/f_VtOjb1Eg_pages.txt,data/reports/AMGEN_INC/f_VtOjb1Eg_blocks.txt,2023-10,2023-10-31,03116210,Amgen Inc.,AMGN,Health Care,2.75472,-0.319,11.8549582412706,0.867301,2023607,US0311621009,-0.0485935999999999,Quarterly
f_XTaAe3hO,ANSYS INC,US03662Q1058,2023-08-02,data/reports/ANSYS_INC/f_XTaAe3hO_file.pdf,data/reports/ANSYS_INC/f_XTaAe3hO_pages.txt,data/reports/ANSYS_INC/f_XTaAe3hO_blocks.txt,2023-08,2023-08-31,03662Q10,"ANSYS, Inc.",ANSS,Information Technology,37.7769,-0.511,10.2191193212739,0.974199,2045623,US03662Q1058,-0.0679042,Quarterly
f_buJ3YWVSckQovC7BjLFzyK,AMAZON.COM INC,US0231351067,2024-05-01,data/reports/AMAZON.COM_INC/f_buJ3YWVSckQovC7BjLFzyK_file.pdf,data/reports/AMAZON.COM_INC/f_buJ3YWVSckQovC7BjLFzyK_pages.txt,data/reports/AMAZON.COM_INC/f_buJ3YWVSckQovC7BjLFzyK_blocks.txt,2024-05,2024-05-31,02313510,"Amazon.com, Inc.",AMZN,Consumer Discretionary,45.1319,-0.568,14.4393700493622,0.86136,2000019,US0231351067,0.00822854,Quarterly
f_emNw2ksbQ2zgXNg5qmyD4M,AMAZON.COM INC,US0231351067,2024-02-02,data/reports/AMAZON.COM_INC/f_emNw2ksbQ2zgXNg5qmyD4M_file.pdf,data/reports/AMAZON.COM_INC/f_emNw2ksbQ2zgXNg5qmyD4M_pages.txt,data/reports/AMAZON.COM_INC/f_emNw2ksbQ2zgXNg5qmyD4M_blocks.txt,2024-02,2024-02-29,02313510,"Amazon.com, Inc.",AMZN,Consumer Discretionary,71.1344,-0.619,14.4035064717348,1.1603,2000019,US0231351067,0.1389179999999999,Annual
f_g6B524Vn,ANSYS INC,US03662Q1058,2023-05-03,data/reports/ANSYS_INC/f_g6B524Vn_file.pdf,data/reports/ANSYS_INC/f_g6B524Vn_pages.txt,data/reports/ANSYS_INC/f_g6B524Vn_blocks.txt,2023-05,2023-05-31,03662Q10,"ANSYS, Inc.",ANSS,Information Technology,20.5715,-0.569,10.2585518310072,1.17164,2045623,US03662Q1058,0.0308039,Quarterly
f_gi4CaXOsnKSndTlwyoChi9,AMAZON.COM INC,US0231351067,2024-11-01,data/reports/AMAZON.COM_INC/f_gi4CaXOsnKSndTlwyoChi9_file.pdf,data/reports/AMAZON.COM_INC/f_gi4CaXOsnKSndTlwyoChi9_pages.txt,data/reports/AMAZON.COM_INC/f_gi4CaXOsnKSndTlwyoChi9_blocks.txt,2024-11,2024-11-29,02313510,"Amazon.com, Inc.",AMZN,Consumer Discretionary,30.4196,-0.483,14.5871723721447,1.26307,2000019,US0231351067,0.11529,Quarterly
f_gq3i5KGna3wfWubryvWnBe,ANSYS INC,US03662Q1058,2024-02-21,data/reports/ANSYS_INC/f_gq3i5KGna3wfWubryvWnBe_file.pdf,data/reports/ANSYS_INC/f_gq3i5KGna3wfWubryvWnBe_pages.txt,data/reports/ANSYS_INC/f_gq3i5KGna3wfWubryvWnBe_blocks.txt,2024-02,2024-02-29,03662Q10,"ANSYS, Inc.",ANSS,Information Technology,9.74277,-0.465,10.2745254886903,0.892582,2045623,US03662Q1058,0.0193393,Annual
f_hfg2s7yUvc8IK7FjAgbzIx,ANSYS INC,US03662Q1058,2024-05-01,data/reports/ANSYS_INC/f_hfg2s7yUvc8IK7FjAgbzIx_file.pdf,data/reports/ANSYS_INC/f_hfg2s7yUvc8IK7FjAgbzIx_pages.txt,data/reports/ANSYS_INC/f_hfg2s7yUvc8IK7FjAgbzIx_blocks.txt,2024-05,2024-05-31,03662Q10,"ANSYS, Inc.",ANSS,Information Technology,0.39866,-0.442,10.2373900406999,1.16466,2045623,US03662Q1058,-0.0228699,Quarterly
f_hgcL2yS6iMzjSjrMdP3M9x,ANSYS INC,US03662Q1058,2024-07-31,data/reports/ANSYS_INC/f_hgcL2yS6iMzjSjrMdP3M9x_file.pdf,data/reports/ANSYS_INC/f_hgcL2yS6iMzjSjrMdP3M9x_pages.txt,data/reports/ANSYS_INC/f_hgcL2yS6iMzjSjrMdP3M9x_blocks.txt,2024-07,2024-07-31,03662Q10,"ANSYS, Inc.",ANSS,Information Technology,-6.02163,-0.359,10.1888493488208,1.28759,2045623,US03662Q1058,-0.024479,Quarterly
f_iTqKU3qf,AMGEN INC,US0311621009,2023-08-04,data/reports/AMGEN_INC/f_iTqKU3qf_file.pdf,data/reports/AMGEN_INC/f_iTqKU3qf_pages.txt,data/reports/AMGEN_INC/f_iTqKU3qf_blocks.txt,2023-08,2023-08-31,03116210,Amgen Inc.,AMGN,Health Care,-0.0892997,-0.262,11.8345764065628,0.920629,2023607,US0311621009,0.103606,Quarterly
